"Notes"	"State"	"State Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"55-64 years"	"55-64"	439	645092	68.1
	"Alabama"	"01"	"65-74 years"	"65-74"	918	464669	197.6
	"Alabama"	"01"	"75-84 years"	"75-84"	1115	233129	478.3
	"Alabama"	"01"	"85+ years"	"85+"	671	86753	773.5
	"Alaska"	"02"	"55-64 years"	"55-64"	43	95322	45.1
	"Alaska"	"02"	"65-74 years"	"65-74"	71	52387	135.5
	"Alaska"	"02"	"75-84 years"	"75-84"	67	18399	364.2
	"Alaska"	"02"	"85+ years"	"85+"	40	6420	623.1
	"Arizona"	"04"	"55-64 years"	"55-64"	347	831142	41.7
	"Arizona"	"04"	"65-74 years"	"65-74"	998	682820	146.2
	"Arizona"	"04"	"75-84 years"	"75-84"	1196	351270	340.5
	"Arizona"	"04"	"85+ years"	"85+"	1033	136834	754.9
	"Arkansas"	"05"	"55-64 years"	"55-64"	293	378345	77.4
	"Arkansas"	"05"	"65-74 years"	"65-74"	587	283580	207.0
	"Arkansas"	"05"	"75-84 years"	"75-84"	716	146474	488.8
	"Arkansas"	"05"	"85+ years"	"85+"	429	56680	756.9
	"California"	"06"	"55-64 years"	"55-64"	1251	4688718	26.7
	"California"	"06"	"65-74 years"	"65-74"	2801	3089002	90.7
	"California"	"06"	"75-84 years"	"75-84"	4211	1535300	274.3
	"California"	"06"	"85+ years"	"85+"	4635	722333	641.7
	"Colorado"	"08"	"55-64 years"	"55-64"	286	699310	40.9
	"Colorado"	"08"	"65-74 years"	"65-74"	588	457780	128.4
	"Colorado"	"08"	"75-84 years"	"75-84"	823	199973	411.6
	"Colorado"	"08"	"85+ years"	"85+"	763	85771	889.6
	"Connecticut"	"09"	"55-64 years"	"55-64"	115	504555	22.8
	"Connecticut"	"09"	"65-74 years"	"65-74"	296	323968	91.4
	"Connecticut"	"09"	"75-84 years"	"75-84"	421	163507	257.5
	"Connecticut"	"09"	"85+ years"	"85+"	510	89928	567.1
	"Delaware"	"10"	"55-64 years"	"55-64"	55	130645	42.1
	"Delaware"	"10"	"65-74 years"	"65-74"	152	99961	152.1
	"Delaware"	"10"	"75-84 years"	"75-84"	169	47902	352.8
	"Delaware"	"10"	"85+ years"	"85+"	144	19087	754.4
	"District of Columbia"	"11"	"55-64 years"	"55-64"	27	70044	38.5
	"District of Columbia"	"11"	"65-74 years"	"65-74"	36	45559	79.0
	"District of Columbia"	"11"	"75-84 years"	"75-84"	41	21762	188.4
	"District of Columbia"	"11"	"85+ years"	"85+"	31	11370	272.6
	"Florida"	"12"	"55-64 years"	"55-64"	1248	2727163	45.8
	"Florida"	"12"	"65-74 years"	"65-74"	2771	2277584	121.7
	"Florida"	"12"	"75-84 years"	"75-84"	3754	1261354	297.6
	"Florida"	"12"	"85+ years"	"85+"	3642	555979	655.1
	"Georgia"	"13"	"55-64 years"	"55-64"	644	1236811	52.1
	"Georgia"	"13"	"65-74 years"	"65-74"	1337	839325	159.3
	"Georgia"	"13"	"75-84 years"	"75-84"	1472	377202	390.2
	"Georgia"	"13"	"85+ years"	"85+"	1069	138135	773.9
	"Hawaii"	"15"	"55-64 years"	"55-64"	36	184406	19.5
	"Hawaii"	"15"	"65-74 years"	"65-74"	86	139010	61.9
	"Hawaii"	"15"	"75-84 years"	"75-84"	101	66000	153.0
	"Hawaii"	"15"	"85+ years"	"85+"	96	38952	246.5
	"Idaho"	"16"	"55-64 years"	"55-64"	107	208250	51.4
	"Idaho"	"16"	"65-74 years"	"65-74"	212	153740	137.9
	"Idaho"	"16"	"75-84 years"	"75-84"	306	72814	420.2
	"Idaho"	"16"	"85+ years"	"85+"	202	28435	710.4
	"Illinois"	"17"	"55-64 years"	"55-64"	554	1655713	33.5
	"Illinois"	"17"	"65-74 years"	"65-74"	1315	1072843	122.6
	"Illinois"	"17"	"75-84 years"	"75-84"	1791	538938	332.3
	"Illinois"	"17"	"85+ years"	"85+"	1691	259483	651.7
	"Indiana"	"18"	"55-64 years"	"55-64"	559	864467	64.7
	"Indiana"	"18"	"65-74 years"	"65-74"	1043	576378	181.0
	"Indiana"	"18"	"75-84 years"	"75-84"	1331	286716	464.2
	"Indiana"	"18"	"85+ years"	"85+"	1060	128469	825.1
	"Iowa"	"19"	"55-64 years"	"55-64"	183	415998	44.0
	"Iowa"	"19"	"65-74 years"	"65-74"	437	281046	155.5
	"Iowa"	"19"	"75-84 years"	"75-84"	661	154469	427.9
	"Iowa"	"19"	"85+ years"	"85+"	626	78700	795.4
	"Kansas"	"20"	"55-64 years"	"55-64"	152	372194	40.8
	"Kansas"	"20"	"65-74 years"	"65-74"	389	244996	158.8
	"Kansas"	"20"	"75-84 years"	"75-84"	588	127193	462.3
	"Kansas"	"20"	"85+ years"	"85+"	426	64804	657.4
	"Kentucky"	"21"	"55-64 years"	"55-64"	479	590470	81.1
	"Kentucky"	"21"	"65-74 years"	"65-74"	1007	411687	244.6
	"Kentucky"	"21"	"75-84 years"	"75-84"	1124	200941	559.4
	"Kentucky"	"21"	"85+ years"	"85+"	675	78089	864.4
	"Louisiana"	"22"	"55-64 years"	"55-64"	302	603021	50.1
	"Louisiana"	"22"	"65-74 years"	"65-74"	590	401909	146.8
	"Louisiana"	"22"	"75-84 years"	"75-84"	688	195073	352.7
	"Louisiana"	"22"	"85+ years"	"85+"	509	77461	657.1
	"Maine"	"23"	"55-64 years"	"55-64"	118	210290	56.1
	"Maine"	"23"	"65-74 years"	"65-74"	220	152331	144.4
	"Maine"	"23"	"75-84 years"	"75-84"	282	73062	386.0
	"Maine"	"23"	"85+ years"	"85+"	269	32290	833.1
	"Maryland"	"24"	"55-64 years"	"55-64"	195	794068	24.6
	"Maryland"	"24"	"65-74 years"	"65-74"	465	516122	90.1
	"Maryland"	"24"	"75-84 years"	"75-84"	646	245157	263.5
	"Maryland"	"24"	"85+ years"	"85+"	624	114931	542.9
	"Massachusetts"	"25"	"55-64 years"	"55-64"	225	917004	24.5
	"Massachusetts"	"25"	"65-74 years"	"65-74"	600	612531	98.0
	"Massachusetts"	"25"	"75-84 years"	"75-84"	824	302627	272.3
	"Massachusetts"	"25"	"85+ years"	"85+"	842	158806	530.2
	"Michigan"	"26"	"55-64 years"	"55-64"	686	1392778	49.3
	"Michigan"	"26"	"65-74 years"	"65-74"	1422	940935	151.1
	"Michigan"	"26"	"75-84 years"	"75-84"	1694	457531	370.2
	"Michigan"	"26"	"85+ years"	"85+"	1512	213289	708.9
	"Minnesota"	"27"	"55-64 years"	"55-64"	189	739313	25.6
	"Minnesota"	"27"	"65-74 years"	"65-74"	522	472248	110.5
	"Minnesota"	"27"	"75-84 years"	"75-84"	741	240616	308.0
	"Minnesota"	"27"	"85+ years"	"85+"	775	119364	649.3
	"Mississippi"	"28"	"55-64 years"	"55-64"	271	380829	71.2
	"Mississippi"	"28"	"65-74 years"	"65-74"	548	266051	206.0
	"Mississippi"	"28"	"75-84 years"	"75-84"	660	133926	492.8
	"Mississippi"	"28"	"85+ years"	"85+"	468	50964	918.3
	"Missouri"	"29"	"55-64 years"	"55-64"	532	815760	65.2
	"Missouri"	"29"	"65-74 years"	"65-74"	1065	559973	190.2
	"Missouri"	"29"	"75-84 years"	"75-84"	1254	289751	432.8
	"Missouri"	"29"	"85+ years"	"85+"	896	128297	698.4
	"Montana"	"30"	"55-64 years"	"55-64"	94	152474	61.6
	"Montana"	"30"	"65-74 years"	"65-74"	175	110127	158.9
	"Montana"	"30"	"75-84 years"	"75-84"	221	52138	423.9
	"Montana"	"30"	"85+ years"	"85+"	185	22775	812.3
