"Notes"	"Year"	"Year Code"	"Division"	"Division Code"	"Age Groups"	"Age Groups Code"	Count	Population	Crude Rate
	"1999"	"1999"	"New England"	"CENS-D1"	"< 1 year"	"1"	36	166332	21.6
	"1999"	"1999"	"New England"	"CENS-D1"	"1-4 years"	"1-4"	148	700246	21.1
	"1999"	"1999"	"New England"	"CENS-D1"	"5-9 years"	"5-9"	113	969919	11.7
	"1999"	"1999"	"New England"	"CENS-D1"	"10-14 years"	"10-14"	122	957912	12.7
	"1999"	"1999"	"New England"	"CENS-D1"	"15-19 years"	"15-19"	178	914844	19.5
	"1999"	"1999"	"New England"	"CENS-D1"	"20-24 years"	"20-24"	303	825720	36.7
	"1999"	"1999"	"New England"	"CENS-D1"	"25-29 years"	"25-29"	544	915659	59.4
	"1999"	"1999"	"New England"	"CENS-D1"	"30-34 years"	"30-34"	947	1042931	90.8
	"1999"	"1999"	"New England"	"CENS-D1"	"35-39 years"	"35-39"	1599	1187614	134.6
	"1999"	"1999"	"New England"	"CENS-D1"	"40-44 years"	"40-44"	2541	1155817	219.8
	"1999"	"1999"	"New England"	"CENS-D1"	"45-49 years"	"45-49"	3730	1017007	366.8
	"1999"	"1999"	"New England"	"CENS-D1"	"50-54 years"	"50-54"	5448	893786	609.5
	"1999"	"1999"	"New England"	"CENS-D1"	"55-59 years"	"55-59"	6624	675943	980.0
	"1999"	"1999"	"New England"	"CENS-D1"	"60-64 years "	"60-64"	7627	528546	1443.0
	"1999"	"1999"	"New England"	"CENS-D1"	"65-69 years"	"65-69"	9790	484585	2020.3
	"1999"	"1999"	"New England"	"CENS-D1"	"70-74 years"	"70-74"	11112	469164	2368.5
	"1999"	"1999"	"New England"	"CENS-D1"	"75-79 years"	"75-79"	10542	401298	2627.0
	"1999"	"1999"	"New England"	"CENS-D1"	"80-84 years"	"80-84"	7365	281740	2614.1
	"1999"	"1999"	"New England"	"CENS-D1"	"85+ years"	"85+"	6180	248590	2486.0
	"1999"	"1999"	"Middle Atlantic"	"CENS-D2"	"< 1 year"	"1"	137	494129	27.7
	"1999"	"1999"	"Middle Atlantic"	"CENS-D2"	"1-4 years"	"1-4"	422	2046544	20.6
	"1999"	"1999"	"Middle Atlantic"	"CENS-D2"	"5-9 years"	"5-9"	315	2806796	11.2
	"1999"	"1999"	"Middle Atlantic"	"CENS-D2"	"10-14 years"	"10-14"	366	2733848	13.4
	"1999"	"1999"	"Middle Atlantic"	"CENS-D2"	"15-19 years"	"15-19"	574	2645966	21.7
	"1999"	"1999"	"Middle Atlantic"	"CENS-D2"	"20-24 years"	"20-24"	776	2448385	31.7
	"1999"	"1999"	"Middle Atlantic"	"CENS-D2"	"25-29 years"	"25-29"	1432	2645799	54.1
	"1999"	"1999"	"Middle Atlantic"	"CENS-D2"	"30-34 years"	"30-34"	2573	2954212	87.1
	"1999"	"1999"	"Middle Atlantic"	"CENS-D2"	"35-39 years"	"35-39"	4261	3275225	130.1
	"1999"	"1999"	"Middle Atlantic"	"CENS-D2"	"40-44 years"	"40-44"	7149	3183540	224.6
	"1999"	"1999"	"Middle Atlantic"	"CENS-D2"	"45-49 years"	"45-49"	10084	2810820	358.8
	"1999"	"1999"	"Middle Atlantic"	"CENS-D2"	"50-54 years"	"50-54"	14875	2474467	601.1
	"1999"	"1999"	"Middle Atlantic"	"CENS-D2"	"55-59 years"	"55-59"	18169	1934413	939.3
	"1999"	"1999"	"Middle Atlantic"	"CENS-D2"	"60-64 years "	"60-64"	22071	1592440	1386.0
	"1999"	"1999"	"Middle Atlantic"	"CENS-D2"	"65-69 years"	"65-69"	27680	1440628	1921.4
	"1999"	"1999"	"Middle Atlantic"	"CENS-D2"	"70-74 years"	"70-74"	32691	1396186	2341.5
	"1999"	"1999"	"Middle Atlantic"	"CENS-D2"	"75-79 years"	"75-79"	29725	1163783	2554.2
	"1999"	"1999"	"Middle Atlantic"	"CENS-D2"	"80-84 years"	"80-84"	20698	789388	2622.0
	"1999"	"1999"	"Middle Atlantic"	"CENS-D2"	"85+ years"	"85+"	16441	669553	2455.5
	"1999"	"1999"	"East North Central"	"CENS-D3"	"< 1 year"	"1"	156	601633	25.9
	"1999"	"1999"	"East North Central"	"CENS-D3"	"1-4 years"	"1-4"	484	2466068	19.6
	"1999"	"1999"	"East North Central"	"CENS-D3"	"5-9 years"	"5-9"	358	3326824	10.8
	"1999"	"1999"	"East North Central"	"CENS-D3"	"10-14 years"	"10-14"	437	3297353	13.3
	"1999"	"1999"	"East North Central"	"CENS-D3"	"15-19 years"	"15-19"	675	3296371	20.5
	"1999"	"1999"	"East North Central"	"CENS-D3"	"20-24 years"	"20-24"	1032	2967256	34.8
	"1999"	"1999"	"East North Central"	"CENS-D3"	"25-29 years"	"25-29"	1703	3072938	55.4
	"1999"	"1999"	"East North Central"	"CENS-D3"	"30-34 years"	"30-34"	2707	3220612	84.1
	"1999"	"1999"	"East North Central"	"CENS-D3"	"35-39 years"	"35-39"	4636	3628421	127.8
	"1999"	"1999"	"East North Central"	"CENS-D3"	"40-44 years"	"40-44"	7644	3620250	211.1
	"1999"	"1999"	"East North Central"	"CENS-D3"	"45-49 years"	"45-49"	11266	3219427	349.9
	"1999"	"1999"	"East North Central"	"CENS-D3"	"50-54 years"	"50-54"	15590	2725172	572.1
	"1999"	"1999"	"East North Central"	"CENS-D3"	"55-59 years"	"55-59"	19748	2123211	930.1
	"1999"	"1999"	"East North Central"	"CENS-D3"	"60-64 years "	"60-64"	24114	1731574	1392.6
	"1999"	"1999"	"East North Central"	"CENS-D3"	"65-69 years"	"65-69"	29602	1522710	1944.0
