"Notes"	"Year"	"Year Code"	"Sex"	"Sex Code"	"Age Groups"	"Age Groups Code"	Count	Population	Crude Rate
	"1999"	"1999"	"Female"	"F"	"< 1 year"	"1"	388	1809670	21.4
	"1999"	"1999"	"Female"	"F"	"1-4 years"	"1-4"	1327	7323088	18.1
	"1999"	"1999"	"Female"	"F"	"5-9 years"	"5-9"	970	9827638	9.9
	"1999"	"1999"	"Female"	"F"	"10-14 years"	"10-14"	1181	9626112	12.3
	"1999"	"1999"	"Female"	"F"	"15-19 years"	"15-19"	1799	9518101	18.9
	"1999"	"1999"	"Female"	"F"	"20-24 years"	"20-24"	3016	8878726	34.0
	"1999"	"1999"	"Female"	"F"	"25-29 years"	"25-29"	5697	9485612	60.1
	"1999"	"1999"	"Female"	"F"	"30-34 years"	"30-34"	10393	10043506	103.5
	"1999"	"1999"	"Female"	"F"	"35-39 years"	"35-39"	19586	11234781	174.3
	"1999"	"1999"	"Female"	"F"	"40-44 years"	"40-44"	33127	10959118	302.3
	"1999"	"1999"	"Female"	"F"	"45-49 years"	"45-49"	45225	9773825	462.7
	"1999"	"1999"	"Female"	"F"	"50-54 years"	"50-54"	56303	8457936	665.7
	"1999"	"1999"	"Female"	"F"	"55-59 years"	"55-59"	60073	6610482	908.8
	"1999"	"1999"	"Female"	"F"	"60-64 years "	"60-64"	64502	5478102	1177.5
	"1999"	"1999"	"Female"	"F"	"65-69 years"	"65-69"	75132	5017117	1497.5
	"1999"	"1999"	"Female"	"F"	"70-74 years"	"70-74"	86094	4866748	1769.0
	"1999"	"1999"	"Female"	"F"	"75-79 years"	"75-79"	83807	4231312	1980.6
	"1999"	"1999"	"Female"	"F"	"80-84 years"	"80-84"	61374	3006630	2041.3
	"1999"	"1999"	"Female"	"F"	"85+ years"	"85+"	55800	2886265	1933.3
	"1999"	"1999"	"Male"	"M"	"< 1 year"	"1"	480	1899083	25.3
	"1999"	"1999"	"Male"	"M"	"1-4 years"	"1-4"	1632	7668064	21.3
	"1999"	"1999"	"Male"	"M"	"5-9 years"	"5-9"	1257	10318550	12.2
	"1999"	"1999"	"Male"	"M"	"10-14 years"	"10-14"	1268	10116519	12.5
	"1999"	"1999"	"Male"	"M"	"15-19 years"	"15-19"	2074	10067756	20.6
	"1999"	"1999"	"Male"	"M"	"20-24 years"	"20-24"	2948	9270069	31.8
	"1999"	"1999"	"Male"	"M"	"25-29 years"	"25-29"	4330	9671944	44.8
	"1999"	"1999"	"Male"	"M"	"30-34 years"	"30-34"	6465	10152628	63.7
	"1999"	"1999"	"Male"	"M"	"35-39 years"	"35-39"	9921	11176947	88.8
	"1999"	"1999"	"Male"	"M"	"40-44 years"	"40-44"	16119	10770568	149.7
	"1999"	"1999"	"Male"	"M"	"45-49 years"	"45-49"	26180	9461709	276.7
	"1999"	"1999"	"Male"	"M"	"50-54 years"	"50-54"	43253	8099252	534.0
	"1999"	"1999"	"Male"	"M"	"55-59 years"	"55-59"	61362	6176884	993.4
	"1999"	"1999"	"Male"	"M"	"60-64 years "	"60-64"	79436	4957689	1602.3
	"1999"	"1999"	"Male"	"M"	"65-69 years"	"65-69"	103116	4294505	2401.1
	"1999"	"1999"	"Male"	"M"	"70-74 years"	"70-74"	112639	3803941	2961.1
	"1999"	"1999"	"Male"	"M"	"75-79 years"	"75-79"	95915	2943666	3258.4
	"1999"	"1999"	"Male"	"M"	"80-84 years"	"80-84"	58455	1761170	3319.1
	"1999"	"1999"	"Male"	"M"	"85+ years"	"85+"	38736	1163775	3328.5
	"2000"	"2000"	"Female"	"F"	"< 1 year"	"1"	452	1838747	24.6
	"2000"	"2000"	"Female"	"F"	"1-4 years"	"1-4"	1400	7315589	19.1
	"2000"	"2000"	"Female"	"F"	"5-9 years"	"5-9"	979	9761736	10.0
	"2000"	"2000"	"Female"	"F"	"10-14 years"	"10-14"	1200	9832364	12.2
	"2000"	"2000"	"Female"	"F"	"15-19 years"	"15-19"	1891	9613113	19.7
	"2000"	"2000"	"Female"	"F"	"20-24 years"	"20-24"	3125	9126338	34.2
	"2000"	"2000"	"Female"	"F"	"25-29 years"	"25-29"	5869	9325815	62.9
	"2000"	"2000"	"Female"	"F"	"30-34 years"	"30-34"	10418	9988173	104.3
	"2000"	"2000"	"Female"	"F"	"35-39 years"	"35-39"	19758	11120289	177.7
	"2000"	"2000"	"Female"	"F"	"40-44 years"	"40-44"	34195	11112255	307.7
	"2000"	"2000"	"Female"	"F"	"45-49 years"	"45-49"	47068	10046532	468.5
	"2000"	"2000"	"Female"	"F"	"50-54 years"	"50-54"	59149	8880311	666.1
	"2000"	"2000"	"Female"	"F"	"55-59 years"	"55-59"	62546	6849416	913.2
	"2000"	"2000"	"Female"	"F"	"60-64 years "	"60-64"	66350	5559029	1193.6
	"2000"	"2000"	"Female"	"F"	"65-69 years"	"65-69"	74784	5000818	1495.4
	"2000"	"2000"	"Female"	"F"	"70-74 years"	"70-74"	85171	4833976	1761.9
	"2000"	"2000"	"Female"	"F"	"75-79 years"	"75-79"	83518	4281950	1950.5
	"2000"	"2000"	"Female"	"F"	"80-84 years"	"80-84"	62696	3057452	2050.6
	"2000"	"2000"	"Female"	"F"	"85+ years"	"85+"	56919	2950852	1928.9
	"2000"	"2000"	"Male"	"M"	"< 1 year"	"1"	448	1928890	23.2
	"2000"	"2000"	"Male"	"M"	"1-4 years"	"1-4"	1695	7658883	22.1
	"2000"	"2000"	"Male"	"M"	"5-9 years"	"5-9"	1318	10246315	12.9
	"2000"	"2000"	"Male"	"M"	"10-14 years"	"10-14"	1320	10332380	12.8
	"2000"	"2000"	"Male"	"M"	"15-19 years"	"15-19"	2180	10186142	21.4
	"2000"	"2000"	"Male"	"M"	"20-24 years"	"20-24"	2988	9539302	31.3
	"2000"	"2000"	"Male"	"M"	"25-29 years"	"25-29"	4374	9543392	45.8
	"2000"	"2000"	"Male"	"M"	"30-34 years"	"30-34"	6525	10125078	64.4
	"2000"	"2000"	"Male"	"M"	"35-39 years"	"35-39"	10298	11063043	93.1
	"2000"	"2000"	"Male"	"M"	"40-44 years"	"40-44"	16688	10934792	152.6
	"2000"	"2000"	"Male"	"M"	"45-49 years"	"45-49"	27846	9742565	285.8
	"2000"	"2000"	"Male"	"M"	"50-54 years"	"50-54"	47264	8513742	555.1
	"2000"	"2000"	"Male"	"M"	"55-59 years"	"55-59"	64698	6409363	1009.4
	"2000"	"2000"	"Male"	"M"	"60-64 years "	"60-64"	81646	5043182	1618.9
	"2000"	"2000"	"Male"	"M"	"65-69 years"	"65-69"	102344	4293100	2383.9
	"2000"	"2000"	"Male"	"M"	"70-74 years"	"70-74"	113346	3819532	2967.5
	"2000"	"2000"	"Male"	"M"	"75-79 years"	"75-79"	97305	2988669	3255.8
	"2000"	"2000"	"Male"	"M"	"80-84 years"	"80-84"	60570	1810826	3344.9
	"2000"	"2000"	"Male"	"M"	"85+ years"	"85+"	39937	1205675	3312.4
	"2001"	"2001"	"Female"	"F"	"< 1 year"	"1"	480	1942094	24.7
	"2001"	"2001"	"Female"	"F"	"1-4 years"	"1-4"	1528	7389458	20.7
	"2001"	"2001"	"Female"	"F"	"5-9 years"	"5-9"	1066	9740654	10.9
	"2001"	"2001"	"Female"	"F"	"10-14 years"	"10-14"	1301	10123827	12.9
	"2001"	"2001"	"Female"	"F"	"15-19 years"	"15-19"	1961	9797025	20.0
	"2001"	"2001"	"Female"	"F"	"20-24 years"	"20-24"	3363	9567089	35.2
	"2001"	"2001"	"Female"	"F"	"25-29 years"	"25-29"	5848	9208824	63.5
	"2001"	"2001"	"Female"	"F"	"30-34 years"	"30-34"	11216	10166748	110.3
	"2001"	"2001"	"Female"	"F"	"35-39 years"	"35-39"	19865	11035791	180.0
	"2001"	"2001"	"Female"	"F"	"40-44 years"	"40-44"	35489	11390611	311.6
	"2001"	"2001"	"Female"	"F"	"45-49 years"	"45-49"	48913	10404182	470.1
	"2001"	"2001"	"Female"	"F"	"50-54 years"	"50-54"	62563	9449057	662.1
	"2001"	"2001"	"Female"	"F"	"55-59 years"	"55-59"	66574	7138713	932.6
	"2001"	"2001"	"Female"	"F"	"60-64 years "	"60-64"	69084	5773027	1196.7
	"2001"	"2001"	"Female"	"F"	"65-69 years"	"65-69"	77144	5080378	1518.5
	"2001"	"2001"	"Female"	"F"	"70-74 years"	"70-74"	86157	4858423	1773.4
	"2001"	"2001"	"Female"	"F"	"75-79 years"	"75-79"	86712	4336371	1999.6
	"2001"	"2001"	"Female"	"F"	"80-84 years"	"80-84"	66006	3180706	2075.2
	"2001"	"2001"	"Female"	"F"	"85+ years"	"85+"	60126	3020999	1990.3
	"2001"	"2001"	"Male"	"M"	"< 1 year"	"1"	501	2028019	24.7
	"2001"	"2001"	"Male"	"M"	"1-4 years"	"1-4"	1760	7734199	22.8
	"2001"	"2001"	"Male"	"M"	"5-9 years"	"5-9"	1241	10221798	12.1
	"2001"	"2001"	"Male"	"M"	"10-14 years"	"10-14"	1454	10634981	13.7
	"2001"	"2001"	"Male"	"M"	"15-19 years"	"15-19"	2343	10430676	22.5
	"2001"	"2001"	"Male"	"M"	"20-24 years"	"20-24"	3244	9969346	32.5
	"2001"	"2001"	"Male"	"M"	"25-29 years"	"25-29"	4426	9425845	47.0
	"2001"	"2001"	"Male"	"M"	"30-34 years"	"30-34"	6449	10295643	62.6
	"2001"	"2001"	"Male"	"M"	"35-39 years"	"35-39"	10329	10994295	93.9
	"2001"	"2001"	"Male"	"M"	"40-44 years"	"40-44"	17641	11210629	157.4
	"2001"	"2001"	"Male"	"M"	"45-49 years"	"45-49"	28932	10097191	286.5
	"2001"	"2001"	"Male"	"M"	"50-54 years"	"50-54"	51001	9058366	563.0
	"2001"	"2001"	"Male"	"M"	"55-59 years"	"55-59"	68491	6694290	1023.1
	"2001"	"2001"	"Male"	"M"	"60-64 years "	"60-64"	85713	5247854	1633.3
	"2001"	"2001"	"Male"	"M"	"65-69 years"	"65-69"	105424	4382955	2405.3
	"2001"	"2001"	"Male"	"M"	"70-74 years"	"70-74"	116697	3875837	3010.9
